epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.9399999976158142,0.28308722376823425,0.001,0.9900000095367432,0.11265765875577927
1,1.0,0.06567654013633728,0.001,0.9950000047683716,0.047984205186367035
2,1.0,0.02975326217710972,0.001,0.9950000047683716,0.02898458018898964
3,1.0,0.01660040020942688,0.001,0.9950000047683716,0.021080223843455315
4,1.0,0.011056243441998959,0.001,0.9950000047683716,0.01675916276872158
5,1.0,0.008800341747701168,0.001,0.9950000047683716,0.013972530141472816
6,1.0,0.007059122901409864,0.000100000005,0.9950000047683716,0.013764151372015476
7,1.0,0.006364371161907911,0.000100000005,0.9950000047683716,0.01355794072151184
8,1.0,0.00697622774168849,0.000100000005,0.9950000047683716,0.013331132009625435
9,1.0,0.006311401724815369,0.000100000005,0.9950000047683716,0.013107565231621265
10,1.0,0.005566162057220936,1.0000001e-05,0.9950000047683716,0.013085979968309402
11,1.0,0.005377293564379215,1.0000001e-05,0.9950000047683716,0.013061949983239174
12,1.0,0.006487717851996422,1.0000001e-05,0.9950000047683716,0.01303299330174923
13,1.0,0.0066830795258283615,1.0000001e-05,0.9950000047683716,0.012999714352190495
14,1.0,0.0059052724391222,1.0000001e-06,0.9950000047683716,0.012996729463338852
15,1.0,0.005806300789117813,1.0000001e-06,0.9950000047683716,0.012993793934583664
16,1.0,0.006306979339569807,1.0000001e-06,0.9950000047683716,0.012990237213671207
17,1.0,0.005861385725438595,1.0000001e-06,0.9950000047683716,0.012986634857952595
18,1.0,0.005526129622012377,1.0000001e-07,0.9950000047683716,0.012986276298761368
19,1.0,0.005586139392107725,1.0000001e-07,0.9950000047683716,0.01298585906624794
20,1.0,0.006253388710319996,1.0000001e-07,0.9950000047683716,0.012985392473638058
21,1.0,0.005726783536374569,1.0000001e-07,0.9950000047683716,0.01298490073531866
