epoch,accuracy,loss,lr,val_accuracy,val_loss
0,1.0,0.18296431005001068,0.001,1.0,0.02261444739997387
1,1.0,0.00875078048557043,0.001,1.0,0.003288393607363105
2,1.0,0.002254951512441039,0.001,1.0,0.0014355486491695046
3,1.0,0.0011775384191423655,0.001,1.0,0.000879741448443383
4,1.0,0.0007928790873847902,0.001,1.0,0.0006170368869788945
5,1.0,0.0006392880459316075,0.000100000005,1.0,0.0005986176547594368
6,1.0,0.0006212937878444791,0.000100000005,1.0,0.0005799389909952879
7,1.0,0.0006123249186202884,0.000100000005,1.0,0.0005607130588032305
8,1.0,0.0005882817786186934,0.000100000005,1.0,0.0005414665793068707
9,1.0,0.0005885877180844545,1.0000001e-05,1.0,0.0005394632462412119
10,1.0,0.000563410809263587,1.0000001e-05,1.0,0.0005374104366637766
11,1.0,0.0005723988288082182,1.0000001e-05,1.0,0.0005352324806153774
12,1.0,0.0005967848119325936,1.0000001e-05,1.0,0.0005328186671249568
13,1.0,0.0005493692005984485,1.0000001e-06,1.0,0.0005325780366547406
14,1.0,0.0005547963664866984,1.0000001e-06,1.0,0.0005323331570252776
15,1.0,0.0005858216900378466,1.0000001e-06,1.0,0.0005320615600794554
16,1.0,0.0005639879964292049,1.0000001e-06,1.0,0.0005318059120327234
17,1.0,0.0005887003499083221,1.0000001e-07,1.0,0.0005317868781276047
18,1.0,0.0005543863517232239,1.0000001e-07,1.0,0.0005317696486599743
19,1.0,0.0005924894358031452,1.0000001e-07,1.0,0.0005317577160894871
20,1.0,0.0005517777753993869,1.0000001e-07,1.0,0.0005316927563399076
