41838384 frame.time_delta,frame.len,ip.proto,ip.len,ip.ttl,tcp.len,tcp.window_size,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport
41988814 0.000965111,150,6,136,64,96,6779,22,52514,,
41992040 0.042596350,60,6,40,125,0,8210,52514,22,,
41995229 0.043576282,102,6,88,64,48,2618,22,52679,,
41998386 0.046818982,60,6,40,125,0,8207,52679,22,,
42001640 0.126420862,182,6,168,64,128,2618,22,52679,,
42004857 0.002353113,166,6,152,64,112,2618,22,52679,,
42008060 0.000324286,60,6,40,125,0,8212,52679,22,,
42011228 0.203040420,83,,,,,,,,,
42014342 0.134084183,118,6,104,64,64,2618,22,52679,,
42017613 0.046845370,60,6,40,125,0,8212,52679,22,,
42020851 0.348301356,262,6,248,64,208,6779,22,52514,,
42024023 0.002174833,438,6,424,64,384,6779,22,52514,,
42027205 0.000903984,60,6,40,125,0,8208,52514,22,,
42030319 0.001285596,358,6,344,64,304,6779,22,52514,,
42033529 0.000260848,118,6,104,64,64,6779,22,52514,,
42036736 0.000710795,60,6,40,125,0,8206,52514,22,,
42040008 0.003137282,726,6,712,64,672,6779,22,52514,,
42043185 0.000106730,118,6,104,64,64,6779,22,52514,,
42046344 0.000937655,60,6,40,125,0,8212,52514,22,,
42049533 0.000991658,182,6,168,64,128,6779,22,52514,,
42052727 0.000288417,118,6,104,64,64,6779,22,52514,,
42055961 0.000695894,60,6,40,125,0,8211,52514,22,,
42059176 0.001451591,118,6,104,64,64,6779,22,52514,,
42062287 0.001976351,134,6,120,64,80,6779,22,52514,,
42065509 0.000759352,60,6,40,125,0,8211,52514,22,,
42068729 0.001322030,150,6,136,64,96,6779,22,52514,,
42071919 0.000263255,118,6,104,64,64,6779,22,52514,,
42075096 0.000707717,60,6,40,125,0,8210,52514,22,,
42078222 0.002587302,150,6,136,64,96,6779,22,52514,,
42081437 0.000259449,118,6,104,64,64,6779,22,52514,,
42084620 0.000700601,60,6,40,125,0,8209,52514,22,,
42087806 0.001094226,118,6,104,64,64,6779,22,52514,,
42091003 0.000282238,118,6,104,64,64,6779,22,52514,,
42094219 0.000726618,60,6,40,125,0,8209,52514,22,,
42097459 0.092073477,102,6,88,64,48,2618,22,52679,,
42100673 0.047711157,60,6,40,125,0,8212,52679,22,,
42103859 0.298770211,83,,,,,,,,,
42107048 0.167176317,118,6,104,64,64,2618,22,52679,,
42110222 0.038361044,60,,,,,,,,,
42113482 0.007989591,60,6,40,125,0,8211,52679,22,,
42116713 0.338786559,134,6,120,64,80,6779,22,52514,,
42119969 0.002190318,150,6,136,64,96,6779,22,52514,,
42123183 0.000893658,60,6,40,125,0,8208,52514,22,,
42126325 0.001271492,150,6,136,64,96,6779,22,52514,,
42129569 0.000276305,102,6,88,64,48,6779,22,52514,,
42132762 0.000722375,60,6,40,125,0,8208,52514,22,,
42136054 0.002793390,150,6,136,64,96,6779,22,52514,,
44941995 0.000280606,102,6,88,64,48,6779,22,52514,,
44945224 0.000725481,60,6,40,125,0,8207,52514,22,,
44948372 0.000466662,182,6,168,125,128,8207,52514,22,,
44951560 0.000212415,102,6,88,64,48,6779,22,52514,,
44954680 0.000559508,118,6,104,64,64,6779,22,52514,,
44957946 0.000334745,102,6,88,64,48,6779,22,52514,,
44961145 0.000391370,60,6,40,125,0,8207,52514,22,,
44964345 0.000742641,134,6,120,64,80,6779,22,52514,,
44967470 0.000791521,60,6,40,125,0,8212,52514,22,,
44970604 0.001183302,150,6,136,64,96,6779,22,52514,,
44973793 0.002098552,134,6,120,64,80,6779,22,52514,,
44977007 0.000271172,102,6,88,64,48,6779,22,52514,,
44980216 0.000584448,60,6,40,125,0,8211,52514,22,,
44983373 0.002726767,134,6,120,64,80,6779,22,52514,,
44986486 0.000288268,102,6,88,64,48,6779,22,52514,,
44989694 0.000482291,60,6,40,125,0,8211,52514,22,,
44992913 0.001129162,166,6,152,125,112,8211,52514,22,,
44996125 0.000197616,102,6,88,64,48,6779,22,52514,,
44999284 0.000044998,118,6,104,64,64,6779,22,52514,,
45002395 0.000367477,102,6,88,64,48,6779,22,52514,,
45005605 0.000346625,60,6,40,125,0,8210,52514,22,,
45008795 0.046387446,60,6,40,125,0,8210,52514,22,,
45012028 0.056492846,102,6,88,64,48,2618,22,52679,,
45015164 0.049177590,60,6,40,125,0,8211,52679,22,,
45018304 0.260661221,83,,,,,,,,,
45021589 0.204165632,118,6,104,64,64,2618,22,52679,,
45024830 0.048842045,60,6,40,125,0,8211,52679,22,,
45028017 0.326377061,134,6,120,64,80,6779,22,52514,,
45031217 0.002122458,166,6,152,64,112,6779,22,52514,,
45034354 0.000835621,60,6,40,125,0,8209,52514,22,,
45037573 0.001344383,150,6,136,64,96,6779,22,52514,,
45040778 0.000282834,102,6,88,64,48,6779,22,52514,,
45043996 0.000713723,60,6,40,125,0,8209,52514,22,,
45047176 0.002866423,150,6,136,64,96,6779,22,52514,,
45050344 0.000279899,102,6,88,64,48,6779,22,52514,,
45053668 0.000729067,60,6,40,125,0,8208,52514,22,,
45056872 0.001250635,118,6,104,64,64,6779,22,52514,,
45060051 0.000331958,102,6,88,64,48,6779,22,52514,,
45063231 0.000303693,118,6,104,64,64,6779,22,52514,,
45066406 0.000381447,60,6,40,125,0,8208,52514,22,,
45069597 0.001813262,134,6,120,64,80,6779,22,52514,,
45072788 0.000716704,60,6,40,125,0,8207,52514,22,,
45075955 0.001412674,150,6,136,64,96,6779,22,52514,,
45079116 0.000302791,102,6,88,64,48,6779,22,52514,,
45082238 0.000707192,60,6,40,125,0,8207,52514,22,,
45085454 0.002620472,134,6,120,64,80,6779,22,52514,,
45088602 0.000284931,102,6,88,64,48,6779,22,52514,,
45091766 0.000753670,60,6,40,125,0,8212,52514,22,,
45094950 0.001216078,118,6,104,64,64,6779,22,52514,,
45098171 0.000307780,102,6,88,64,48,6779,22,52514,,
45101445 0.000696806,60,6,40,125,0,8212,52514,22,,
45104635 0.116465252,102,6,88,64,48,2618,22,52679,,
45107847 0.048018416,60,6,40,125,0,8211,52679,22,,
45111013 0.224594460,83,,,,,,,,,
45114204 0.272688779,102,6,88,64,48,2618,22,52679,,
45117473 0.046117975,60,6,40,125,0,8211,52679,22,,
45120726 0.284285570,134,6,120,64,80,6779,22,52514,,
45123981 0.002169300,166,6,152,64,112,6779,22,52514,,
45127200 0.000778811,60,6,40,125,0,8211,52514,22,,
45130349 0.001353794,134,6,120,64,80,6779,22,52514,,
45133568 0.000271483,102,6,88,64,48,6779,22,52514,,
45136781 0.000695383,60,6,40,125,0,8210,52514,22,,
45140011 0.002574859,150,6,136,64,96,6779,22,52514,,
45143221 0.000277497,102,6,88,64,48,6779,22,52514,,
45146405 0.000749770,60,6,40,125,0,8210,52514,22,,
45149645 0.000524701,150,6,136,125,96,8210,52514,22,,
45152910 0.000194211,102,6,88,64,48,6779,22,52514,,
45156137 0.000561997,118,6,104,64,64,6779,22,52514,,
45159341 0.000329673,102,6,88,64,48,6779,22,52514,,
45162514 0.000061950,118,6,104,64,64,6779,22,52514,,
45165743 0.000273105,60,6,40,125,0,8209,52514,22,,
45168973 0.000385531,60,6,40,125,0,8209,52514,22,,
45172185 0.001559911,150,6,136,64,96,6779,22,52514,,
45175373 0.002159693,134,6,120,64,80,6779,22,52514,,
45178585 0.000257977,102,6,88,64,48,6779,22,52514,,
45181858 0.000519371,60,6,40,125,0,8208,52514,22,,
45185130 0.002766260,134,6,120,64,80,6779,22,52514,,
45188332 0.000303861,102,6,88,64,48,6779,22,52514,,
45191512 0.000470252,60,6,40,125,0,8208,52514,22,,
45194691 0.000844324,150,6,136,125,96,8208,52514,22,,
45197912 0.000198480,102,6,88,64,48,6779,22,52514,,
45201113 0.000385882,118,6,104,64,64,6779,22,52514,,
45204348 0.000214998,102,6,88,64,48,6779,22,52514,,
45207557 0.000490760,60,6,40,125,0,8207,52514,22,,
45210714 0.040817510,60,6,40,125,0,8207,52514,22,,
45213937 0.113957105,102,6,88,64,48,2618,22,52679,,
45217141 0.050326284,60,6,40,125,0,8210,52679,22,,
45220361 0.161851096,83,,,,,,,,,
45223553 0.302082843,118,6,104,64,64,2618,22,52679,,
45226730 0.048019034,60,6,40,125,0,8210,52679,22,,
45229952 0.275738271,134,6,120,64,80,6779,22,52514,,
45233134 0.002176870,150,6,136,64,96,6779,22,52514,,
45236355 0.000820933,60,6,40,125,0,8212,52514,22,,
45239569 0.001369574,150,6,136,64,96,6779,22,52514,,
45242728 0.000265182,102,6,88,64,48,6779,22,52514,,
45245947 0.000792054,60,6,40,125,0,8211,52514,22,,
48050665 0.002743315,134,6,120,64,80,6779,22,52514,,
48054048 0.000291805,102,6,88,64,48,6779,22,52514,,
48057324 0.000710650,60,6,40,125,0,8211,52514,22,,
48060669 0.001166625,118,6,104,64,64,6779,22,52514,,
48063934 0.000093435,118,6,104,64,64,6779,22,52514,,
48067173 0.000343827,102,6,88,64,48,6779,22,52514,,
48070420 0.000404944,60,6,40,125,0,8210,52514,22,,
48073710 0.001360263,150,6,136,64,96,6779,22,52514,,
48077003 0.000750615,60,6,40,125,0,8210,52514,22,,
48080284 0.001388712,150,6,136,64,96,6779,22,52514,,
48083506 0.000283303,102,6,88,64,48,6779,22,52514,,
48086707 0.000750549,60,6,40,125,0,8209,52514,22,,
48090034 0.002512764,134,6,120,64,80,6779,22,52514,,
48093283 0.000305676,102,6,88,64,48,6779,22,52514,,
48096560 0.000705381,60,6,40,125,0,8209,52514,22,,
48099861 0.001240968,118,6,104,64,64,6779,22,52514,,
48103120 0.000316942,102,6,88,64,48,6779,22,52514,,
48106173 0.000694661,60,6,40,125,0,8208,52514,22,,
48109431 0.164463736,102,6,88,64,48,2618,22,52679,,
48112500 0.050643752,60,6,40,125,0,8210,52679,22,,
48115704 0.125031263,83,,,,,,,,,
48118770 0.338277348,118,6,104,64,64,2618,22,52679,,
48122003 0.048314793,60,6,40,125,0,8210,52679,22,,
48125074 0.266185005,134,6,120,64,80,6779,22,52514,,
48128344 0.002140972,166,6,152,64,112,6779,22,52514,,
48131341 0.000804653,60,6,40,125,0,8208,52514,22,,
48134519 0.001362776,150,6,136,64,96,6779,22,52514,,
48137873 0.000318191,102,6,88,64,48,6779,22,52514,,
48140894 0.000726806,60,6,40,125,0,8207,52514,22,,
48144152 0.002885066,150,6,136,64,96,6779,22,52514,,
48147148 0.000250547,102,6,88,64,48,6779,22,52514,,
48150315 0.000678759,60,6,40,125,0,8207,52514,22,,
48153639 0.000677625,150,6,136,125,96,8207,52514,22,,
48156945 0.000211469,166,6,152,64,112,6779,22,52514,,
48160221 0.000489568,118,6,104,64,64,6779,22,52514,,
48163234 0.000331955,102,6,88,64,48,6779,22,52514,,
48166426 0.000361184,60,6,40,125,0,8212,52514,22,,
48169683 0.001000560,150,6,136,64,96,6779,22,52514,,
48172751 0.000729106,60,6,40,125,0,8211,52514,22,,
48175984 0.001436754,134,6,120,64,80,6779,22,52514,,
48178988 0.000287616,102,6,88,64,48,6779,22,52514,,
48182239 0.000805666,60,6,40,125,0,8211,52514,22,,
48185528 0.002486737,134,6,120,64,80,6779,22,52514,,
48188588 0.000300057,102,6,88,64,48,6779,22,52514,,
48191787 0.000672279,60,6,40,125,0,8210,52514,22,,
48194842 0.000960037,150,6,136,125,96,8210,52514,22,,
48198097 0.000187951,102,6,88,64,48,6779,22,52514,,
48201404 0.000045699,118,6,104,64,64,6779,22,52514,,
48204491 0.000249983,102,6,88,64,48,6779,22,52514,,
48207517 0.000499806,60,6,40,125,0,8210,52514,22,,
48210456 0.043213355,60,6,40,125,0,8210,52514,22,,
48213473 0.135535788,102,6,88,64,48,2618,22,52679,,
48216690 0.046000273,60,6,40,125,0,8209,52679,22,,
48219692 0.092234924,83,,,,,,,,,
48222703 0.403895032,118,6,104,64,64,2618,22,52679,,
48225973 0.046000716,60,6,40,125,0,8209,52679,22,,
48229018 0.226631599,134,6,120,64,80,6779,22,52514,,
48232293 0.002190025,150,6,136,64,96,6779,22,52514,,
48235316 0.000813274,60,6,40,125,0,8209,52514,22,,
48238496 0.001312912,150,6,136,64,96,6779,22,52514,,
48241788 0.000272656,102,6,88,64,48,6779,22,52514,,
48244872 0.000900295,60,6,40,125,0,8209,52514,22,,
48248120 0.002362184,150,6,136,64,96,6779,22,52514,,
48251176 0.000289581,102,6,88,64,48,6779,22,52514,,
48254359 0.000680050,60,6,40,125,0,8208,52514,22,,
48257642 0.000926028,118,6,104,64,64,6779,22,52514,,
48260748 0.000410937,118,6,104,64,64,6779,22,52514,,
48264033 0.000327673,102,6,88,64,48,6779,22,52514,,
48267102 0.000394470,60,6,40,125,0,8208,52514,22,,
48270068 0.001108275,150,6,136,64,96,6779,22,52514,,
48273303 0.000833464,60,6,40,125,0,8207,52514,22,,
48276383 0.001280333,150,6,136,64,96,6779,22,52514,,
48279645 0.000246108,102,6,88,64,48,6779,22,52514,,
48282724 0.000717288,60,6,40,125,0,8206,52514,22,,
48285946 0.002516599,134,6,120,64,80,6779,22,52514,,
48289008 0.000303494,102,6,88,64,48,6779,22,52514,,
48292249 0.000700129,60,6,40,125,0,8212,52514,22,,
48295287 0.001266173,118,6,104,64,64,6779,22,52514,,
48298345 0.000308284,102,6,88,64,48,6779,22,52514,,
48301663 0.000698641,60,6,40,125,0,8212,52514,22,,
48304815 0.216270242,102,6,88,64,48,2618,22,52679,,
48308190 0.046937976,60,6,40,125,0,8209,52679,22,,
48311332 0.030834266,83,,,,,,,,,
48314655 0.436118132,102,6,88,64,48,2618,22,52679,,
48317850 0.043427135,60,6,40,125,0,8209,52679,22,,
48321159 0.219712933,134,6,120,64,80,6779,22,52514,,
48324219 0.002196013,150,6,136,64,96,6779,22,52514,,
48327455 0.000825665,60,6,40,125,0,8211,52514,22,,
48330458 0.001341298,134,6,120,64,80,6779,22,52514,,
48333744 0.000275379,102,6,88,64,48,6779,22,52514,,
48337032 0.000716896,60,6,40,125,0,8210,52514,22,,
48340095 0.002995607,150,6,136,64,96,6779,22,52514,,
48343325 0.000107286,102,6,88,64,48,6779,22,52514,,
48346330 0.000742114,60,6,40,125,0,8210,52514,22,,
48349664 0.000433884,134,6,120,64,80,6779,22,52514,,
48352961 0.000085772,150,6,136,125,96,8210,52514,22,,
49099966 0.000191349,102,6,88,64,48,6779,22,52514,,
49100736 0.000479475,118,6,104,64,64,6779,22,52514,,
49101408 0.000254605,60,6,40,125,0,8209,52514,22,,
49102065 0.000076627,102,6,88,64,48,6779,22,52514,,
49102700 0.000720011,60,6,40,125,0,8209,52514,22,,
49103345 0.000375406,134,6,120,64,80,6779,22,52514,,
49104138 0.002132902,134,6,120,64,80,6779,22,52514,,
49104746 0.000275326,102,6,88,64,48,6779,22,52514,,
49109862 0.000468647,60,6,40,125,0,8208,52514,22,,
49113727 0.002792547,134,6,120,64,80,6779,22,52514,,
49114366 0.000302746,102,6,88,64,48,6779,22,52514,,
49114974 0.000425529,60,6,40,125,0,8208,52514,22,,
49115597 0.000805101,150,6,136,125,96,8208,52514,22,,
49116262 0.000190474,102,6,88,64,48,6779,22,52514,,
49116864 0.000472028,118,6,104,64,64,6779,22,52514,,
49117467 0.000263267,102,6,88,64,48,6779,22,52514,,
49118087 0.000470019,60,6,40,125,0,8207,52514,22,,
49118692 0.044922078,60,6,40,125,0,8207,52514,22,,
49119305 0.181624343,102,6,88,64,48,2618,22,52679,,
49119987 0.041344643,83,,,,,,,,,
49120592 0.001877415,60,6,40,125,0,8209,52679,22,,
49121203 0.057732322,66,6,52,64,0,3120,1003,2049,,
49121808 0.000146841,182,6,168,64,116,3120,1003,2049,,
49122421 0.000086446,66,6,52,64,0,3081,2049,1003,,
49123041 0.000173810,114,6,100,64,48,3081,2049,1003,,
49123684 0.000032309,66,6,52,64,0,3120,1003,2049,,
49124275 0.000449560,166,6,152,64,100,3120,1003,2049,,
49124865 0.000203025,114,6,100,64,48,3081,2049,1003,,
49125476 0.000202266,258,6,244,64,192,3120,1003,2049,,
49126089 0.000237847,114,6,100,64,48,3081,2049,1003,,
49126719 0.000209077,310,6,296,64,244,3120,1003,2049,,
49127307 0.000221914,170,6,156,64,104,3081,2049,1003,,
49128005 0.000200702,258,6,244,64,192,3120,1003,2049,,
49128605 0.014155167,194,6,180,64,128,3081,2049,1003,,
49129207 0.000207096,198,6,184,64,132,3120,1003,2049,,
49129829 0.000277402,182,6,168,64,116,3081,2049,1003,,
49130425 0.000212530,190,6,176,64,124,3120,1003,2049,,
49131015 0.004015933,158,6,144,64,92,3081,2049,1003,,
49131659 0.042965138,66,6,52,64,0,3120,1003,2049,,
49132224 0.352538593,270,6,256,64,204,3120,1003,2049,,
49132818 0.000406535,318,6,304,64,252,3081,2049,1003,,
49133421 0.000033740,66,6,52,64,0,3120,1003,2049,,
49134060 0.002098772,118,6,104,64,64,2618,22,52679,,
49134647 0.054144983,60,6,40,125,0,8208,52679,22,,
49135245 0.193192225,134,6,120,64,80,6779,22,52514,,
49135827 0.002207227,166,6,152,64,112,6779,22,52514,,
49136495 0.000843302,60,6,40,125,0,8212,52514,22,,
49137108 0.001308964,150,6,136,64,96,6779,22,52514,,
49137727 0.000275842,102,6,88,64,48,6779,22,52514,,
49138310 0.000762256,60,6,40,125,0,8211,52514,22,,
49138893 0.002581468,150,6,136,64,96,6779,22,52514,,
49139530 0.000268333,102,6,88,64,48,6779,22,52514,,
49140107 0.000694562,60,6,40,125,0,8211,52514,22,,
49140710 0.000410902,118,6,104,64,64,6779,22,52514,,
49141316 0.000930663,118,6,104,64,64,6779,22,52514,,
49141925 0.000334023,102,6,88,64,48,6779,22,52514,,
49142512 0.000381969,60,6,40,125,0,8210,52514,22,,
49143105 0.000390734,150,6,136,64,96,6779,22,52514,,
49143673 0.000811227,60,6,40,125,0,8210,52514,22,,
49144235 0.001381121,134,6,120,64,80,6779,22,52514,,
49144851 0.000203523,102,6,88,64,48,6779,22,52514,,
49145456 0.000697069,60,6,40,125,0,8209,52514,22,,
49146076 0.002375117,134,6,120,64,80,6779,22,52514,,
49146669 0.000207610,102,6,88,64,48,6779,22,52514,,
49147237 0.000652174,60,6,40,125,0,8209,52514,22,,
49147852 0.001217394,118,6,104,64,64,6779,22,52514,,
49148544 0.000300539,102,6,88,64,48,6779,22,52514,,
49149162 0.000751705,60,6,40,125,0,8208,52514,22,,
49149746 0.046715214,102,6,88,125,48,8208,52514,22,,
49150327 0.001377575,118,6,104,64,64,6779,22,52514,,
49150902 0.009275461,118,6,104,64,64,6779,22,52514,,
49151555 0.000043073,102,6,88,64,48,6779,22,52514,,
49152134 0.000031979,118,6,104,64,64,6779,22,52514,,
49152738 0.000028183,102,6,88,64,48,6779,22,52514,,
49153353 0.000071512,102,6,88,64,48,6779,22,52514,,
49153941 0.000039096,102,6,88,64,48,6779,22,52514,,
49154528 0.000057332,102,6,88,64,48,6779,22,52514,,
49155108 0.000061439,150,6,136,64,96,6779,22,52514,,
49155628 0.000048282,150,6,136,64,96,6779,22,52514,,
49156188 0.000400680,60,6,40,125,0,8207,52514,22,,
49156790 0.000000167,60,6,40,125,0,8207,52514,22,,
49157417 0.000032154,1110,6,1096,64,1056,6779,22,52514,,
49158006 0.000018711,102,6,88,64,48,6779,22,52514,,
49158590 0.000063085,60,6,40,125,0,8207,52514,22,,
49159165 0.000010417,102,6,88,64,48,6779,22,52514,,
49159670 0.000008782,102,6,88,64,48,6779,22,52514,,
49160226 0.000042055,102,6,88,64,48,6779,22,52514,,
49160832 0.000052741,150,6,136,64,96,6779,22,52514,,
49161445 0.000052912,60,6,40,125,0,8212,52514,22,,
49162035 0.000009342,150,6,136,64,96,6779,22,52514,,
49162618 0.000011295,102,6,88,64,48,6779,22,52514,,
49163201 0.000039343,102,6,88,64,48,6779,22,52514,,
49163709 0.000058831,102,6,88,64,48,6779,22,52514,,
49164266 0.000055874,102,6,88,64,48,6779,22,52514,,
49164871 0.000025632,150,6,136,64,96,6779,22,52514,,
49165491 0.000039587,102,6,88,64,48,6779,22,52514,,
49166116 0.000025753,150,6,136,64,96,6779,22,52514,,
49166713 0.000027769,102,6,88,64,48,6779,22,52514,,
49167303 0.000047080,150,6,136,64,96,6779,22,52514,,
49167909 0.000058301,198,6,184,64,144,6779,22,52514,,
49168528 0.000067635,198,6,184,64,144,6779,22,52514,,
49169149 0.000055421,246,6,232,64,192,6779,22,52514,,
49169734 0.000112703,102,6,88,64,48,6779,22,52514,,
49170310 0.000146702,60,6,40,125,0,8207,52514,22,,
49170889 0.000016984,102,6,88,64,48,6779,22,52514,,
49171402 0.000039500,66,6,52,125,0,8207,52514,22,,
49171963 0.000000093,74,6,60,125,0,8207,52514,22,,
49172572 0.000025368,102,6,88,64,48,6779,22,52514,,
49173186 0.000031126,74,6,60,125,0,8207,52514,22,,
49173773 0.000000066,74,6,60,125,0,8207,52514,22,,
49174355 0.000000086,74,6,60,125,0,8207,52514,22,,
49174932 0.000031202,102,6,88,64,48,6779,22,52514,,
49175453 0.000026016,74,6,60,125,0,8207,52514,22,,
49176036 0.000024226,102,6,88,64,48,6779,22,52514,,
49176631 0.000032988,74,6,60,125,0,8207,52514,22,,
49177244 0.000000080,74,6,60,125,0,8207,52514,22,,
49177832 0.000015579,102,6,88,64,48,6779,22,52514,,
49178413 0.000036320,74,6,60,125,0,8207,52514,22,,
49178989 0.000000083,74,6,60,125,0,8207,52514,22,,
49179505 0.000014708,102,6,88,64,48,6779,22,52514,,
49180048 0.000014037,102,6,88,64,48,6779,22,52514,,
49180672 0.000033932,74,6,60,125,0,8207,52514,22,,
49181313 0.000000068,66,6,52,125,0,8212,52514,22,,
49181925 0.000011940,102,6,88,64,48,6779,22,52514,,
49182534 0.000014326,102,6,88,64,48,6779,22,52514,,
49183061 0.000032075,60,6,40,125,0,8209,52514,22,,
49183557 0.000000070,60,6,40,125,0,8208,52514,22,,
49184107 0.000023888,102,6,88,64,48,6779,22,52514,,
49184721 0.000032306,60,6,40,125,0,8208,52514,22,,
49185366 0.000022480,102,6,88,64,48,6779,22,52514,,
49185978 0.000039985,102,6,88,64,48,6779,22,52514,,
49186591 0.000053646,102,6,88,64,48,6779,22,52514,,
49187113 0.000050401,60,6,40,125,0,8208,52514,22,,
49187609 0.000008087,102,6,88,64,48,6779,22,52514,,
49188136 0.000016046,118,6,104,64,64,6779,22,52514,,
49188755 0.000092445,102,6,88,64,48,6779,22,52514,,
49189412 0.000031966,118,6,104,64,64,6779,22,52514,,
49190034 0.000046984,166,6,152,64,112,6779,22,52514,,
49190648 0.000015712,198,6,184,64,144,6779,22,52514,,
49191159 0.000040019,630,6,616,64,576,6779,22,52514,,
49191655 0.000048401,678,6,664,64,624,6779,22,52514,,
49192212 0.000003390,60,6,40,125,0,8211,52514,22,,
49192821 0.000000013,60,6,40,125,0,8212,52514,22,,
49193464 0.000003147,102,6,88,64,48,6779,22,52514,,
49194084 0.000001808,102,6,88,64,48,6779,22,52514,,
49194693 0.000050131,60,6,40,125,0,8207,52514,22,,
49195206 0.000000105,630,6,616,64,576,6779,22,52514,,
49195703 -0.000000092,60,6,40,125,0,8207,52514,22,,
49196244 0.000055242,60,6,40,125,0,8207,52514,22,,
49196843 0.000000016,60,6,40,125,0,8211,52514,22,,
49197465 0.000000013,60,6,40,125,0,8211,52514,22,,
49198057 0.000002152,582,6,568,64,528,6779,22,52514,,
49198661 0.000052764,390,6,376,64,336,6779,22,52514,,
49199251 0.000032048,438,6,424,64,384,6779,22,52514,,
49199829 0.000019699,60,6,40,125,0,8208,52514,22,,
49200542 0.000000627,342,6,328,64,288,6779,22,52514,,
49201160 0.000030003,390,6,376,64,336,6779,22,52514,,
49201746 0.000027568,60,6,40,125,0,8212,52514,22,,
49202330 0.000000311,486,6,472,64,432,6779,22,52514,,
49202913 0.000037077,534,6,520,64,480,6779,22,52514,,
49203491 0.000015303,60,6,40,125,0,8210,52514,22,,
49204057 0.000002041,246,6,232,64,192,6779,22,52514,,
49204660 0.000002778,102,6,88,64,48,6779,22,52514,,
49205272 0.000052097,534,6,520,64,480,6779,22,52514,,
49205856 0.000051396,60,6,40,125,0,8206,52514,22,,
49206435 0.000001075,342,6,328,64,288,6779,22,52514,,
49207019 0.000034321,390,6,376,64,336,6779,22,52514,,
49207529 0.000017453,60,6,40,125,0,8212,52514,22,,
49208116 0.000002042,198,6,184,64,144,6779,22,52514,,
49208724 0.000002615,102,6,88,64,48,6779,22,52514,,
49209335 0.000053129,822,6,808,64,768,6779,22,52514,,
49209914 0.000051994,60,6,40,125,0,8209,52514,22,,
49210503 0.000001001,774,6,760,64,720,6779,22,52514,,
49211078 0.000053909,60,6,40,125,0,8212,52514,22,,
49211586 0.000000013,60,6,40,125,0,8210,52514,22,,
49212136 0.000002052,582,6,568,64,528,6779,22,52514,,
49212744 0.000054493,294,6,280,64,240,6779,22,52514,,
49213368 0.000024770,342,6,328,64,288,6779,22,52514,,
