41838384 frame.time_delta,frame.len,ip.proto,ip.len,ip.ttl,tcp.len,tcp.window_size,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport
41841682 0.000000000,134,6,120,64,80,2618,22,52679,,
41844901 0.001998953,166,6,152,64,112,2618,22,52679,,
41848124 0.000330862,60,6,40,125,0,8211,52679,22,,
41851295 0.000659431,118,6,104,64,64,2618,22,52679,,
41854426 0.001228369,166,6,152,64,112,2618,22,52679,,
41857666 0.000305323,102,6,88,64,48,2618,22,52679,,
41860848 0.000030336,60,6,40,125,0,8211,52679,22,,
41864019 0.000644395,134,6,120,64,80,2618,22,52679,,
41867188 0.000301856,60,6,40,125,0,8210,52679,22,,
41870304 0.001744200,134,6,120,64,80,2618,22,52679,,
41873524 0.000276096,102,6,88,64,48,2618,22,52679,,
41876699 0.000304096,60,6,40,125,0,8210,52679,22,,
41879875 0.000087370,150,6,136,64,96,2618,22,52679,,
41883053 0.000282878,102,6,88,64,48,2618,22,52679,,
41886276 0.000301302,60,6,40,125,0,8209,52679,22,,
41889472 0.000462153,150,6,136,125,96,8209,52679,22,,
41892673 0.000210777,102,6,88,64,48,2618,22,52679,,
41895905 0.001003348,118,6,104,64,64,2618,22,52679,,
41899085 0.000256371,60,6,40,125,0,8209,52679,22,,
41902298 0.000049093,102,6,88,64,48,2618,22,52679,,
41905539 0.000360423,134,6,120,64,80,2618,22,52679,,
41908766 0.000293399,102,6,88,64,48,2618,22,52679,,
41912017 0.000008257,60,6,40,125,0,8208,52679,22,,
41915202 0.001079124,150,6,136,125,96,8208,52679,22,,
41918339 0.000100104,102,6,88,64,48,2618,22,52679,,
41921584 0.000613709,118,6,104,64,64,2618,22,52679,,
41924804 0.000255461,60,6,40,125,0,8207,52679,22,,
41928047 0.000053424,102,6,88,64,48,2618,22,52679,,
41931223 0.053040185,60,6,40,125,0,8207,52679,22,,
41934337 0.167809868,83,,,,,,,,,
41937570 0.102009342,118,6,104,64,64,2618,22,52679,,
41940817 0.013784444,102,6,88,125,48,8207,52679,22,,
41944034 0.003103857,102,6,88,125,48,8207,52679,22,,
41947224 0.000117996,54,6,40,64,0,2618,22,52679,,
41950426 0.344170937,118,6,104,125,64,8212,52514,22,,
41953618 0.000027291,54,6,40,64,0,6779,22,52514,,
41956809 0.001413523,118,6,104,64,64,6779,22,52514,,
41960030 0.000088142,118,6,104,64,64,6779,22,52514,,
41963237 0.000671643,60,6,40,125,0,8212,52514,22,,
41966412 0.044771724,134,6,120,125,80,8212,52514,22,,
41969633 0.000191234,118,6,104,64,64,6779,22,52514,,
41972856 0.001242703,310,6,296,125,256,8211,52514,22,,
41976069 0.001053960,166,6,152,64,112,6779,22,52514,,
41979271 0.010609200,118,6,104,125,64,8211,52514,22,,
41982433 0.000228008,118,6,104,64,64,6779,22,52514,,
41985655 0.001284416,118,6,104,125,64,8211,52514,22,,
