state,frame.time_delta,frame.len,ip.proto,ip.len,ip.ttl,tcp.len,tcp.window_size,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport
1,0,70,6,52,32,0,65535,12341,443,,
1,0,70,6,52,32,0,65535,11593,443,,
1,0.000001,74,6,56,32,0,5792,49023,80,,
1,0.000002,70,6,52,32,0,24616,34893,443,,
1,0,70,6,52,32,0,65535,443,25234,,
1,0.000001,70,6,52,32,0,30408,8489,443,,
1,0.000002,70,6,52,32,0,23168,443,19149,,
1,0.000001,693,6,675,32,623,27512,60962,443,,
1,0.000004,1456,6,1438,32,1386,30408,48869,443,,
1,0.000001,70,6,52,32,0,8688,36424,80,,
1,0,70,6,52,32,0,30408,18643,443,,
1,0.000001,70,6,52,32,0,65535,60425,443,,
1,0.000002,994,6,976,32,924,30408,443,37116,,
1,0.000001,70,6,52,32,0,7240,80,4568,,
1,0.000001,70,6,52,32,0,7240,80,46343,,
1,0,1298,6,1280,32,1228,5792,4763,80,,
1,0.000001,70,6,52,32,0,31856,61115,443,,
1,0,70,6,52,32,0,65535,27268,443,,
1,0.000001,70,6,52,32,0,23168,443,32007,,
1,0,1439,6,1421,32,1369,23168,37115,443,,
1,0.000001,70,6,52,32,0,30408,10462,443,,
1,0.000001,1298,6,1280,32,1228,5792,32813,80,,
1,0.000001,831,6,813,32,761,31856,443,55285,,
1,0.000001,70,6,52,32,0,23168,443,31456,,
1,0.000003,1439,6,1421,32,1369,23168,53527,443,,
1,0.000001,70,6,52,32,0,8688,60408,80,,
1,0,70,6,52,32,0,23168,443,23246,,
1,0,70,6,52,32,0,31856,1321,443,,
1,0,70,6,52,32,0,8688,20041,80,,
1,0.000002,70,6,52,32,0,65535,22725,443,,
1,0.000001,70,6,52,32,0,5792,32059,80,,
1,0.000001,70,6,52,32,0,7240,80,58421,,
1,0.000001,70,6,52,32,0,65535,21652,443,,
1,0,70,6,52,32,0,23168,443,34893,,
1,0.000003,70,6,52,32,0,23168,443,21501,,
1,0.000001,70,6,52,32,0,31856,443,61115,,
1,0.000003,70,6,52,32,0,65535,443,31485,,
1,0,70,6,52,32,0,65535,443,27268,,
1,0.000001,1456,6,1438,32,1386,30408,59626,443,,
1,0.000001,70,6,52,32,0,31856,58664,443,,
1,0.000001,70,6,52,32,0,65535,52550,443,,
1,0.000002,1095,6,1077,32,1025,65535,443,43115,,
1,0.000001,70,6,52,32,0,7240,80,17198,,
