epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.9975000023841858,0.028846580535173416,0.001,0.9990000128746033,0.007080530282109976
1,1.0,0.0003486450877971947,0.001,0.9990000128746033,0.0060068536549806595
2,1.0,0.00013734129606746137,0.001,0.9990000128746033,0.006205015350133181
3,1.0,7.825940701877698e-05,0.001,0.9990000128746033,0.006499165669083595
4,1.0,4.942654413753189e-05,0.001,0.9990000128746033,0.006813001818954945
5,1.0,4.019646439701319e-05,0.000100000005,0.9990000128746033,0.006844101008027792
6,1.0,3.866451152134687e-05,0.000100000005,0.9990000128746033,0.0068826982751488686
7,1.0,3.723501868080348e-05,0.000100000005,0.9990000128746033,0.006926033180207014
8,1.0,3.431706136325374e-05,0.000100000005,0.9990000128746033,0.006977740675210953
9,1.0,3.273057518526912e-05,1.0000001e-05,0.9990000128746033,0.006984094623476267
10,1.0,3.285473940195516e-05,1.0000001e-05,0.9990000128746033,0.006991427857428789
11,1.0,3.257954813307151e-05,1.0000001e-05,0.9990000128746033,0.007000627461820841
12,1.0,3.2280640880344436e-05,1.0000001e-05,0.9990000128746033,0.007011130917817354
13,1.0,3.210776412743144e-05,1.0000001e-06,0.9990000128746033,0.007012401707470417
14,1.0,3.180510248057544e-05,1.0000001e-06,0.9990000128746033,0.007013917434960604
15,1.0,3.220330472686328e-05,1.0000001e-06,0.9990000128746033,0.007015720009803772
16,1.0,3.1770825444255024e-05,1.0000001e-06,0.9990000128746033,0.007017939351499081
17,1.0,3.140102853649296e-05,1.0000001e-07,0.9990000128746033,0.007018119562417269
18,1.0,3.190847928635776e-05,1.0000001e-07,0.9990000128746033,0.007018381729722023
19,1.0,3.1951130949892104e-05,1.0000001e-07,0.9990000128746033,0.007018696051090956
20,1.0,3.21802290272899e-05,1.0000001e-07,0.9990000128746033,0.007019027601927519
