1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1,6,43,0,0,0,0,115,0,0,16,0,0,3,0,11,0,771986,4,2,2,44679860
1,2,43,1,0,0,0,115,1,0,0,0,0,10,0,8,0,611240,2,1,1,37942284
1,6,43,0,0,5,0,115,0,0,18,0,0,0,0,14,0,707313,6,3,3,38791054
1,4,1,0,0,5,0,2,1,0,0,0,0,0,0,8,0,583434,4,2,2,36303108
1,2,6,0,0,2,0,127,0,0,0,0,0,0,0,9,0,689046,2,1,1,38629420
1,4,6,0,0,2,0,127,1,0,0,0,0,0,0,8,0,589008,4,2,2,38834952
1,2,13,0,0,5,0,140,0,0,0,0,0,0,0,7,0,692206,2,1,1,35966172
1,2,8,0,0,5,0,15,0,0,0,0,0,0,0,6,0,482069,2,1,1,37156784
1,2,8,0,0,2,0,15,1,0,0,0,0,0,0,7,0,608398,2,1,1,37323290
1,2,0,0,0,2,0,3,0,0,0,0,0,0,0,6,0,467822,2,1,1,37108234
1,2,15,0,0,4,0,10,1,0,0,0,0,0,0,7,0,621785,2,1,1,37169518
1,2,15,0,0,4,0,10,0,0,0,0,0,0,0,6,0,455899,2,1,1,34811648
1,2,15,0,0,2,0,9,0,0,0,0,0,0,0,6,0,531808,2,1,1,37020448
1,2,0,0,0,2,0,2,1,0,0,0,0,0,0,6,0,535868,2,1,1,37115862
1,2,0,0,0,2,0,2,0,0,0,0,0,0,0,6,0,533053,2,1,1,37043016
1,2,0,0,0,2,0,3,1,0,0,0,0,0,0,6,0,537648,2,1,1,37269528
1,2,0,0,0,4,0,3,0,0,0,0,0,0,0,6,0,534617,2,1,1,37141250
1,2,0,0,0,4,0,3,1,63,0,0,0,0,0,6,0,537462,2,1,1,37183516
1,2,0,0,0,2,0,2,0,0,0,0,0,0,0,6,0,535889,2,1,1,37214400
1,2,0,0,0,2,0,2,0,0,0,0,0,0,0,7,0,595992,2,1,1,35426098
1,2,0,0,0,4,0,2,1,0,0,0,0,0,0,6,0,477502,2,1,1,37335718
1,2,0,0,0,4,0,2,0,0,0,0,0,0,0,7,0,609454,2,1,1,37034522
1,2,0,0,0,2,0,2,1,0,0,0,0,0,0,6,0,461103,2,1,1,37151964
1,2,0,0,0,2,0,2,0,0,0,0,0,0,0,7,0,625902,2,1,1,37167802
1,2,0,0,0,2,0,3,0,0,0,0,0,0,0,6,0,447370,2,1,1,34810440
1,2,0,0,0,2,0,3,1,0,0,0,0,0,0,6,0,537751,2,1,1,37214982
1,2,0,0,0,4,0,3,0,0,0,0,0,0,0,6,0,535030,2,1,1,37224410
1,2,0,0,0,4,0,2,2,63,0,0,0,0,0,6,0,552579,2,1,1,37389680
1,2,0,0,0,2,0,2,0,0,0,0,0,0,0,6,0,532587,2,1,1,37179528
1,2,0,0,0,2,0,2,1,0,0,0,0,0,0,6,0,534634,2,1,1,37174866
1,2,0,0,0,4,0,3,0,0,0,0,0,0,0,6,0,534403,2,1,1,37122380
1,2,0,0,0,4,0,3,0,0,0,0,0,0,0,6,0,537427,2,1,1,37171582
